Rank,University,Score,Country,Flag,League
1,California Institute of Technology (Caltech),100.000,USA,,Diamond League
2,Harvard University,98.697,USA,,Diamond League
3,Massachusetts Institute of Technology (MIT),98.634,USA,,Diamond League
4,Stanford University,98.424,USA,,Diamond League
5,Karolinska Institute,98.414,Sweden,,Diamond League
6,ETH Zurich (Swiss Federal Institute of Technology),96.644,Switzerland,,Diamond League
7,Columbia University,96.562,USA,,Diamond League
8,Imperial College London,96.113,UK,,Diamond League
9,University of Chicago,96.032,USA,,Diamond League
10,Johns Hopkins University,95.620,USA,,Diamond League
11,Peking University,95.409,China,,Diamond League
12,University of Oxford,95.289,UK,,Diamond League
13,University of Pennsylvania,94.745,USA,,Diamond League
14,Ecole Polytechnique Federale de Lausanne,94.733,Switzerland,,Diamond League
15,Princeton University,94.665,USA,,Diamond League
16,University of Cambridge,94.554,UK,,Diamond League
17,Yale University,94.395,USA,,Diamond League
18,Northwestern University,94.183,USA,,Diamond League
19,Washington University in St. Louis,93.522,USA,,Diamond League
20,University College London,93.124,UK,,Diamond League
21,Korea Advanced Institute of Science and Technology (KAIST),93.104,Republic of Korea,,Diamond League
22,Case Western Reserve University,92.457,USA,,Diamond League
23,Technical University of Denmark,91.867,Denmark,,Diamond League
24,New York University,91.732,USA,,Diamond League
25,Carnegie Mellon University,91.432,USA,,Diamond League
26,Cornell University,91.314,USA,,Diamond League
27,Scuola Normale Superiore di Pisa,90.791,Italy,,Diamond League
28,Tsinghua University,90.555,China,,Diamond League
29,University of Southern California,90.287,USA,,Diamond League
30,Emory University,89.904,USA,,Diamond League
31,University of Michigan,89.822,USA,,Diamond League
32,Pohang University of Science and Technology (POSTECH),89.676,Republic of Korea,,Diamond League
33,Boston University,89.667,USA,,Diamond League
34,University of Edinburgh,89.438,UK,,Diamond League
35,Vanderbilt University,88.681,USA,,Diamond League
36,"University of California, Los Angeles",88.496,USA,,Diamond League
37,Tohoku University,88.428,Japan,,Diamond League
38,Rice University,88.387,USA,,Diamond League
39,Zhejiang University,88.180,China,,Diamond League
40,Brown University,88.072,USA,,Diamond League
41,University of Lausanne,87.912,Switzerland,,Diamond League
42,University of Science and Technology of China,87.909,China,,Diamond League
43,Ludwig Maximilian University of Munich,87.822,Germany,,Diamond League
44,Fudan University,87.750,China,,Diamond League
45,University of Washington,87.495,USA,,Diamond League
46,Tufts University,87.380,USA,,Diamond League
47,University of Tokyo,87.291,Japan,,Diamond League
48,University of Wisconsin - Madison,87.129,USA,,Diamond League
49,McGill University,87.100,Canada,,Diamond League
50,Indian Institute of Science,87.073,India,,Diamond League
51,University of Hong Kong,87.037,Hong Kong,,Diamond League
52,University of Helsinki,86.987,Finland,,Diamond League
53,Technische Universitat Dresden (TU Dresden),86.803,Germany,,Diamond League
54,University of Pittsburgh,86.707,USA,,Diamond League
55,Nanyang Technological University,86.632,Singapore,,Diamond League
56,University of Rochester,86.573,USA,,Diamond League
57,Kyoto University,86.227,Japan,,Diamond League
58,Wageningen University & Research Center,86.169,Netherlands,,Diamond League
59,University of Bern,85.985,Switzerland,,Diamond League
60,University of Geneva,85.941,Switzerland,,Diamond League
61,Shanghai Jiao Tong University,85.829,China,,Diamond League
62,Chinese University Hong Kong,85.541,Hong Kong,,Diamond League
